osmid,name,coordinates
1327630940,,"[(2.3761575, 48.8987437), (2.3761596, 48.8987125)]"
1327631386,,"[(2.3257808, 48.8231487), (2.3257918, 48.8231932), (2.3258007, 48.8232282), (2.3258027, 48.8232362)]"
1327631388,,"[(2.3257291, 48.8229407), (2.3257419, 48.8229921), (2.3257467, 48.8230115)]"
1327631389,,"[(2.3257213, 48.8229092), (2.3257291, 48.8229407)]"
1327631391,,"[(2.3257467, 48.8230115), (2.3257599, 48.823064)]"
1327631392,,"[(2.3257744, 48.8231224), (2.3257808, 48.8231487)]"
1327632460,Avenue d'Italie,"[(2.3573748, 48.8262356), (2.3573713, 48.8262488), (2.3573523, 48.8263066), (2.3572145, 48.8267634)]"
1327632461,Avenue d'Italie,"[(2.3572145, 48.8267634), (2.3572081, 48.8267846), (2.3571982, 48.8268154)]"
1327632462,Avenue d'Italie,"[(2.357436, 48.8260399), (2.3574277, 48.8260669), (2.357406, 48.8261317)]"
1327632463,Avenue d'Italie,"[(2.357406, 48.8261317), (2.3573891, 48.826182), (2.3573748, 48.8262356)]"
1327633396,Rue Louis Blanc,"[(2.363424, 48.8820307), (2.3646162, 48.8813879)]"
1327635484,Boulevard de Reuilly,"[(2.3901551, 48.8391129), (2.3901893, 48.8391169)]"
1327635485,Boulevard de Reuilly,"[(2.3901551, 48.8391129), (2.3898542, 48.83909), (2.389805, 48.8390864)]"
1327635486,Boulevard de Reuilly,"[(2.3900156, 48.8389983), (2.3901684, 48.8390134)]"
1327635487,,"[(2.3901684, 48.8390134), (2.3901628, 48.8390643)]"
1327637028,Avenue de la Porte des Poissonniers,"[(2.3522751, 48.8996284), (2.3522823, 48.8995767)]"
1327637029,Avenue de la Porte des Poissonniers,"[(2.3522637, 48.8996892), (2.3522751, 48.8996284)]"
1327638188,Place Nationale,"[(2.3649335, 48.8291071), (2.3649298, 48.8290846), (2.3650436, 48.8288949), (2.3651619, 48.8288624), (2.3652772, 48.8288952)]"
1327638189,Place Nationale,"[(2.3652772, 48.8288952), (2.3653115, 48.8289049), (2.3653541, 48.8289158)]"
1327638190,Place Nationale,"[(2.3653541, 48.8289158), (2.3654347, 48.8289363), (2.3654471, 48.8289503)]"
1327638191,Place Nationale,"[(2.3654471, 48.8289503), (2.3654655, 48.8289711), (2.3654835, 48.8289941)]"
1327638192,Place Nationale,"[(2.3652558, 48.8292602), (2.3651853, 48.8292382), (2.3651642, 48.8292322)]"
1327638193,Place Nationale,"[(2.3653483, 48.8292425), (2.3653018, 48.8292524), (2.3652558, 48.8292602)]"
